task_id,user_id,descricao,status,prioridade,data_criacao,data_limite,complexidade
100022,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 1",Concluída,Baixa,2025-01-04,2025-01-04,Básica
100023,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-05,2025-01-05,Básica
100024,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 11",Concluída,Baixa,,2025-01-05,Básica
100025,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 12-12",Pendente,Baixa,2025-01-05,2025-01-05,Básica
100026,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 8",Concluída,Baixa,2025-01-05,2025-01-05,Básica
100027,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 9",Concluída,Baixa,2025-01-05,2025-01-05,Básica
100028,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 8-9",Concluída,Baixa,2025-01-05,2025-01-05,Básica
100029,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-06,2025-01-06,Básica
100030,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 85-93)",Concluída,Baixa,2025-01-06,2025-01-06,Básica
100031,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 9",Concluída,Baixa,2025-01-06,2025-01-06,Básica
100032,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 8-9",Concluída,Baixa,2025-01-06,2025-01-06,Básica
100033,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 12",Concluída,Baixa,2025-01-06,2025-01-06,Básica
100034,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 3",Pendente,Baixa,2025-01-07,2025-01-07,Básica
100035,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 11-12",Concluída,Baixa,2025-01-07,2025-01-07,Básica
100036,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 8-10",Pendente,Baixa,2025-01-07,2025-01-07,Básica
100037,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 97-112)",Concluída,Baixa,,2025-01-07,Básica
100038,1,"REVISAR ANOTAÇÕES SOBRE THINKING, FAST AND SLOW (D. KAHNEMAN)",Concluída,Baixa,2025-01-07,2025-01-07,Básica
100039,1,"Resolver lista de exercícios de Thinking, Fast and Slow (D. Kahneman) 🤖",Concluída,Média,2025-01-07,2025-01-08,Média
100040,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 27-32)",Concluída,Baixa,2025-01-08,2025-01-08,Básica
100041,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 2",Concluída,Baixa,2025-01-08,2025-01-08,Básica
100042,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 7",Concluída,Baixa,2025-01-08,2025-01-08,Básica
100043,1,"Apresentação de 5 slides sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Média,2025-01-08,2025-01-09,Média
100044,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 3",Concluída,Baixa,2025-01-09,2025-01-09,Básica
100045,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 88-94)",Concluída,Baixa,2025-01-09,2025-01-09,Básica
100046,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 2-2",Pendente,Baixa,2025-01-09,2025-01-09,Básica
100047,1,"Impl3m3nt@r 3x3mplo prático inspir@do 3m Thinking, F@st @nd Slow (D. K@hn3m@n)",Concluída,Média,2025-01-09,2025-01-09,Média
100048,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 11",Concluída,Baixa,2025-01-10,2025-01-10,Básica
100049,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 105-116)",Adiada,Baixa,,2025-01-10,Básica
100050,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 48-55)",Concluída,Baixa,2025-01-10,2025-01-10,Básica
100051,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-10,2025-01-10,Básica
100052,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 158-170)",Concluída,Baixa,2025-01-11,2025-01-11,Básica
100053,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 4",Adiada,,2025-01-11,2025-01-11,Básica
100054,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 2-4",Concluída,Baixa,2025-01-11,2025-01-11,Básica
100055,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 2-3",Concluída,Baixa,2025-01-12,2025-01-12,Básica
100056,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 17-32)",Concluída,Baixa,2025-01-12,2025-01-12,Básica
100057,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 8",Concluída,Baixa,2025-01-12,2025-01-12,Básica
100058,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-13,2025-01-13,Básica
100059,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 2",Concluída,MEDIA,2025-01-13,2025-01-13,Básica
100060,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 1",Concluída,Baixa,2025-01-13,2025-01-13,Básica
100061,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-13,2025-01-13,Básica
100062,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 2",Concluída,Baixa,2025-01-13,2025-01-13,Básica
100063,1,"Implementar exemplo prático inspirado em Thinking, Fast and Slow (D. Kahneman)",Pendente,Média,2025-01-13,2025-01-15,Média
100064,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-14,2025-01-14,Básica
100065,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Pendente,Baixa,2025-01-14,2025-01-14,Básica
100066,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-14,2025-01-14,Básica
100067,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 5-5",Concluída,Baixa,2025-01-14,2025-01-14,Básica
100068,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 8",Concluída,Baixa,2025-01-15,2025-01-15,Básica
100069,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-15,2025-01-15,Básica
100070,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 37-47)",Concluída,Baixa,2025-01-15,2025-01-15,Básica
100071,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 249-255)",Concluída,Baixa,2025-01-15,2025-01-15,Básica
100072,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 1",Pendente,Baixa,2025-01-15,2025-01-15,Básica
100073,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-16,2025-01-16,Básica
100074,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 8",Concluída,Baixa,2025-01-16,2025-01-16,Básica
100075,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 247-259)",Concluída,Baixa,2025-01-16,2025-01-16,Básica
100076,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Pendente,—,2025-01-16,2025-01-16,Básica
100077,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 5",Pendente,Baixa,2025-01-16,2025-01-16,Básica
100078,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 8",Concluída,Baixa,2025-01-16,2025-01-16,Básica
100079,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 30-44)",Concluída,Baixa,2025-01-17,2025-01-17,Básica
100080,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Pendente,Baixa,2025-01-17,2025-01-17,Básica
100081,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 12",Pendente,,2025-01-17,2025-01-17,Básica
100082,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 11",Concluída,Baixa,2025-01-17,2025-01-17,Básica
100083,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Adiada,Baixa,2025-01-17,2025-01-17,Básica
100084,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 4",Concluída,Baixa,2025-01-18,2025-01-18,Básica
100085,1," Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 7   ",Concluída,Baixa,2025-01-18,2025-01-18,Básica
100086,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 2",Concluída,Baixa,18/01/2025,2025-01-18,Básica
100087,1,"Relatório semanal: síntese de Thinking, Fast and Slow (D. Kahneman)",Concluída,,2025-01-18,2025-01-18,Média
100088,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-19,2025-01-19,Básica
100089,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 5",Concluída,Baixa,2025-01-19,2025-01-19,Básica
100090,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-19,2025-01-19,Básica
100091,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 4",Concluída,Baixa,2025-01-19,2025-01-19,Básica
100092,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-19,2025-01-19,Básica
100093,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 5-7",Concluída,Baixa,2025-01-20,2025-01-20,Básica
100094,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-20,2025-01-20,Básica
100095,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Pendente,Baixa,2025-01-20,2025-01-20,Básica
100096,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 12",Concluída,Baixa,2025-01-20,2025-01-20,Básica
100097,1,"Relatório semanal: síntese de Thinking, Fast and Slow (D. Kahneman)",Concluída,Média,2025-01-20,2025-01-22,Média
100098,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 7",Concluída,Baixa,2025-01-21,2025-01-21,Básica
100099,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 1",Adiada,Baixa,2025-01-21,2025-01-21,Básica
100100,1,"EXERCÍCIOS PRÁTICOS DE THINKING, FAST AND SLOW (D. KAHNEMAN) (PÁG. 68-75)",Pendente,Baixa,2025-01-21,2025-01-21,Básica
100101,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 29-40)",Concluída,Baixa,2025-01-21,2025-01-21,Básica
100102,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Pendente,,2025-01-21,2025-01-21,Básica
100103,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 3-5",Concluída,Baixa,2025-01-21,2025-01-21,Básica
100104,1,"Implementar exemplo prático inspirado em Thinking, Fast and Slow (D. Kahneman)",Concluída,Média,2025-01-21,2025-01-22,Média
100105,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 10",Concluída,Baixa,2025-01-22,2025-01-22,Básica
100106,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 1",Pendente,Baixa,2025-01-22,2025-01-22,Básica
100107,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-22,2025-01-22,Básica
100108,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Pendente,Baixa,2025-01-22,2025-01-22,Básica
100109,1,"Resolver lista de exercícios de Thinking, Fast and Slow (D. Kahneman)",Concluída,Média,2025-01-22,2025-01-23,Média
100110,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 93-108)",Adiada,Baixa,2025-01-23,2025-01-23,Básica
100111,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 11-12",Concluída,Baixa,2025-01-23,2025-01-23,Básica
100112,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 87-100)",Concluída,Baixa,2025-01-23,2025-01-23,Básica
100113,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 6",Concluída,Baixa,2025-01-23,2025-01-23,Básica
100114,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 7",Pendente,Baixa,2025-01-23,2025-01-23,Básica
100115,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-24,2025-01-24,Básica
100116,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 1",Adiada,Baixa,2025-01-24,2025-01-24,Básica
100117,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 7",Concluída,Baixa,2025-01-24,2025-01-24,Básica
100118,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 6-7",Pendente,Baixa,2025-01-24,2025-01-24,Básica
100119,1,,Concluída,Baixa,2025-01-24,2025-01-24,Básica
100120,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 3",Concluída,Baixa,2025-01-24,2025-01-24,Básica
100121,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 10",Concluída,Baixa,2025-01-25,2025-01-25,Básica
100122,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 11",Concluída,Baixa,2025-01-25,2025-01-25,Básica
100123,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 6",Concluída,Baixa,2025-01-25,2025-01-25,Básica
100124,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 4",Concluída,Baixa,2025-01-26,2025-01-26,Básica
100125,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 11",Concluída,Baixa,2025-01-26,2025-01-26,Básica
100126,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 1",Concluída,Baixa,26/01/2025,2025-01-26,Básica
100127,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 5-5",Concluída,Baixa,2025-01-27,2025-01-27,Básica
100128,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 4",Concluída,Baixa,2025-01-27,2025-01-27,Básica
100129,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 9",Concluída,Baixa,2025-01-27,2025-01-27,Básica
100130,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-27,2025-01-27,Básica
100131,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 243-253)",Concluída,Baixa,2025-01-27,2025-01-27,Básica
100132,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Pendente,Baixa,2025-01-28,2025-01-28,Básica
100133,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 4",Concluída,Baixa,2025-01-28,2025-01-28,Básica
100134,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 11-13",Concluída,Baixa,2025-01-28,2025-01-28,Básica
100135,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,29/01/2025,2025-01-29,Básica
100136,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-29,2025-01-29,Básica
100137,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-29,2025-01-29,Básica
100138,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-30,2025-01-30,Básica
100139,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 8",Concluída,Baixa,,2025-01-30,Básica
100140,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 9",Concluída,Baixa,2025-01-30,2025-01-30,Básica
100141,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-31,2025-01-31,Básica
100142,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 4",Concluída,Baixa,2025-01-31,2025-01-31,Básica
100143,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-01-31,2025-01-31,Básica
100144,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 3",Concluída,Baixa,2025-01-31,2025-01-31,Básica
100145,1,"Relatório semanal: síntese de Thinking, Fast and Slow (D. Kahneman)",Concluída,Média,2025-01-31,2025-01-31,Média
100146,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 210-224)",Concluída,Baixa,2025-02-01,2025-02-01,Básica
100147,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 146-155)",Concluída,Baixa,2025-02-01,2025-02-01,Básica
100148,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 2",Pendente,Baixa,2025-02-01,2025-02-01,Básica
100149,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 6-8",Concluída,Baixa,2025-02-01,2025-02-01,Básica
100150,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 5-6",Concluída,Baixa,2025-02-01,2025-02-01,Básica
100151,1,"Apresentação de 5 slides sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Média,2025-02-01,2025-02-03,Média
100152,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 94-101)",Concluída,Baixa,,2025-02-02,Básica
100153,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-02-02,2025-02-02,Básica
100154,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 10-18)",Concluída,Baixa,2025-02-02,2025-02-02,Básica
100155,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Pendente,Baixa,2025-02-02,2025-02-02,Básica
100156,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 2",Pendente,Baixa,2025-02-02,2025-02-02,Básica
100157,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-02-03,2025-02-03,Básica
100158,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 2",Concluída,Baixa,2025-02-03,2025-02-03,Básica
100159,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 8",Pendente,Baixa,2025-02-03,2025-02-03,Básica
100160,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 1-2",Concluída,Baixa,2025-02-03,2025-02-03,Básica
100161,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 77-83)",Pendente,Baixa,2025-02-03,2025-02-03,Básica
100162,1,"Resolver lista de exercícios de Thinking, Fast and Slow (D. Kahneman)",Concluída,Média,2025-02-03,2025-02-04,Média
100163,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 6",Concluída,Baixa,2025-02-04,2025-02-04,Básica
100164,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 6",Concluída,Baixa,2025-02-04,2025-02-04,Básica
100165,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 6",Concluída,Baixa,2025-02-04,2025-02-04,Básica
100166,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 11",Concluída,Baixa,2025-02-04,2025-02-04,Básica
100167,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 4-6",Concluída,Baixa,2025-02-04,2025-02-04,Básica
100168,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 11-13",Adiada,Baixa,2025-02-04,2025-02-04,Básica
100169,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 3-3",Concluída,Baixa,2025-02-05,2025-02-05,Básica
100170,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 98-108)",Concluída,Baixa,2025-02-05,2025-02-05,Básica
100171,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 11",Concluída,Baixa,2025-02-05,2025-02-05,Básica
100172,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 2",Concluída,Baixa,2025-02-06,2025-02-06,Básica
100173,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 103-117)",Concluída,Baixa,2025-02-06,2025-02-06,Básica
100174,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 12",Concluída,Baixa,2025-02-06,2025-02-06,Básica
100175,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 2",Concluída,Baixa,06/02/2025,2025-02-06,Básica
100176,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 6-13)",Concluída,Baixa,2025-02-06,2025-02-06,Básica
100177,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 9",Concluída,Baixa,2025-02-06,2025-02-06,Básica
100178,1,"Apresentação de 5 slides sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Média,2025-02-06,2025-02-07,Média
100179,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 3",Pendente,Baixa,2025-02-07,2025-02-07,Básica
100180,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-02-07,2025-02-07,Básica
100181,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 220-228)",Concluída,Baixa,2025-02-07,2025-02-07,Básica
100182,1,"Implementar exemplo prático inspirado em Thinking, Fast and Slow (D. Kahneman)",Concluída,Média,2025-02-07,2025-02-08,Média
100183,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 3-4",Concluída,Baixa,2025-02-08,2025-02-08,Básica
100184,1,"Exercícios práticos de Thinking, Fast and Slow (D. Kahneman) (pág. 206-215)",Concluída,Baixa,2025-02-08,2025-02-08,Básica
100185,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 10",Concluída,Baixa,2025-02-08,2025-02-08,Básica
100186,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 6",Concluída,Baixa,2025-02-09,2025-02-09,Básica
100187,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 2-2",Concluída,Baixa,2025-02-09,2025-02-09,Básica
100188,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 4",Concluída,Baixa,2025-02-09,2025-02-09,Básica
100189,1,"Seminário: Thinking, Fast and Slow (D. Kahneman) aplicado à prática",Concluída,Alta,2025-02-07,2025-02-10,Difícil
100190,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 2",Concluída,Baixa,2025-02-10,2025-02-10,Básica
100191,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 11",Concluída,Baixa,2025-02-10,2025-02-10,Básica
100192,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 11-13",Pendente,Baixa,2025-02-10,2025-02-10,Básica
100193,1,"Revisar anotações sobre Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-02-10,2025-02-10,Básica
100194,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 7-8",Concluída,Baixa,2025-02-10,2025-02-10,Básica
100195,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 8-10",Concluída,,2025-02-10,2025-02-10,Básica
100196,1,"Resolver lista de exercícios de Thinking, Fast and Slow (D. Kahneman)",Concluída,Média,2025-02-10,2025-02-10,Média
100197,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 5",Concluída,Baixa,2025-02-11,2025-02-11,Básica
100198,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-02-11,2025-02-11,Básica
100199,1,"Resumo de Thinking, Fast and Slow (D. Kahneman) - seções 11-12",Concluída,Baixa,2025-02-11,2025-02-11,Básica
100200,1,"Flashcards de Thinking, Fast and Slow (D. Kahneman) - termos do capítulo 8",Concluída,Baixa,2025-02-11,2025-02-11,Básica
100201,1,"Aplicar exemplo de código de Thinking, Fast and Slow (D. Kahneman)",Concluída,Baixa,2025-02-12,2025-02-12,Básica
100202,1,"Ler Thinking, Fast and Slow (D. Kahneman) - capítulo 10",Pendente,Baixa,2025-02-12,2025-02-12,Básica
